year,plant_id,capacity,capacity_factor,efficiency,ramp_rate,fuel_type
2007,127,720.0,0.673762174805,0.322937155184,448.0,SUB
2007,298,1849.8,0.847509060925,0.336819238069,889.0,LIG
2007,791,6.0,0.322606689735,0.345200807837,,WAT
2007,794,2.8,0.17490525622,0.345208187385,,WAT
2007,3437,9.6,0.611483564014,0.345203807994,,WAT
2007,3439,187.2,0.489432070629,0.279137341078,93.0,NG
2007,3452,927.5,0.0710285801335,0.276760003113,467.0,NG
2007,3453,958.3,0.0455201029408,0.248375356657,220.0,NG
2007,3454,708.5,0.0309377235888,0.308332517193,319.0,NG
2007,3460,2295.0,0.0938201244871,0.302923617946,690.0,NG
2007,3464,878.4,0.0287545721171,0.242522012795,230.0,NG
2007,3466,2314.5,-0.000217325057938,-inf,,AB
2007,3468,875.1,0.0366086356649,0.270150053912,374.0,NG
2007,3469,1421.5,0.0976047119516,0.358072091927,,NG
2007,3470,3969.0,0.583184326686,0.321535719484,1809.0,SUB
2007,3490,634.7,0.144129704449,0.296889913042,386.0,NG
2007,3491,1433.3,0.0212067374062,0.249202116906,456.0,NG
2007,3492,1363.7,0.0126503823516,0.246966536343,71.0,NG
2007,3494,1097.4,0.0416314833698,0.24013282799,387.0,NG
2007,3497,1186.8,0.830830309976,0.316074121038,586.0,LIG
2007,3502,321.6,0.021436215692,0.239110554573,181.0,NG
2007,3504,713.4,0.126332661728,0.281249471755,407.0,NG
2007,3506,1379.7,0.0331033299702,0.269275759353,,NG
2007,3507,243.3,0.0333495937966,0.263494744977,168.0,NG
2007,3508,1175.4,0.0211233398864,0.232063917315,,NG
2007,3548,932.3,0.142615879345,0.305171842748,311.0,NG
2007,3549,558.0,0.078249267238,0.293802291517,201.0,NG
2007,3557,25.0,0.134542099193,0.345205817455,,WAT
2007,3559,181.4,0.0328719716825,0.327511399203,69.0,NG
2007,3561,138.0,0.00134730705581,0.157358183504,,NG
2007,3574,96.4,0.000579094220065,0.445483679525,16.0,NG
2007,3576,427.7,0.0755053922984,0.270677226145,105.0,NG
2007,3581,2.8,0.649845526446,0.345205532111,,WAT
2007,3582,3.6,0.742566993464,0.345203583922,,WAT
2007,3583,2.4,0.560361399462,0.345205688651,,WAT
2007,3584,2.4,0.530517156863,0.34520274413,,WAT
2007,3585,2.4,0.578575547866,0.345205751599,,WAT
2007,3586,2.4,0.694011918493,0.345203993414,,WAT
2007,3594,16.0,0.302422145329,0.345204011055,,WAT
2007,3595,47.8,0.0932446347478,0.345202944404,,WAT
2007,3597,60.0,0.145265282584,0.345204476077,,WAT
2007,3598,15.0,0.115970780469,0.345200869379,,WAT
2007,3599,30.0,0.145136482122,0.345205286739,,WAT
2007,3600,102.5,0.222074436661,0.34520422346,,WAT
2007,3601,639.0,0.180824818371,0.292521340949,285.0,NG
2007,3609,418.3,0.0307351583178,0.307223405467,,NG
2007,3611,892.0,0.181372678325,0.306674026207,451.0,NG
2007,3612,894.0,0.114693496951,0.310176204256,363.0,NG
2007,3613,493.9,0.0030585367551,0.190810922522,116.0,NG
2007,3624,5.7,0.0,,,AB
2007,3627,71.0,0.000164075572234,0.167531356344,,NG
2007,3628,603.6,0.0592278694232,0.281053637003,256.0,NG
2007,3630,66.0,0.0383209255182,0.194732415261,,NG
2007,3631,240.2,0.300399417248,0.387704919802,77.0,NG
2007,4195,84.7,0.00842923460099,0.12913732276,,NG
2007,4266,173.7,0.0386678698707,0.198893867745,51.0,NG
2007,4937,446.0,0.202649981121,0.303137202063,259.0,NG
2007,4939,703.0,0.0453444703126,0.284724899825,385.0,NG
2007,6128,66.0,0.259351298452,0.345204348108,,WAT
2007,6136,453.5,0.875606235749,0.339208719759,315.0,SUB
2007,6145,2430.0,0.894515737062,0.325417259948,,NUC
2007,6146,2379.6,0.876049263753,0.309142006191,,LIG
2007,6147,1980.0,0.897032609661,0.306758867689,1522.0,SUB
2007,6178,600.4,0.810262400998,0.321855815309,148.0,SUB
2007,6179,1690.0,0.828836496932,0.333287430752,452.0,SUB
2007,6181,932.0,0.658432709234,0.321683284464,433.0,SUB
2007,6183,410.0,0.763481306439,0.275123298014,178.0,LIG
2007,6243,154.1,0.238907762227,0.296515030065,69.0,NG
2007,6251,2708.6,0.941479107812,0.325417267326,,NUC
2007,6410,31.5,0.14344665971,0.345205782849,,WAT
2007,6413,52.0,0.334577677225,0.345204241964,,WAT
2007,6414,30.0,0.456970396002,0.345204509394,,WAT
2007,6648,590.6,0.869881507712,0.302957537596,251.0,LIG
2007,7030,349.2,0.764979039254,0.286903172368,101.0,LIG
2007,7097,566.0,0.836960845448,0.34547675583,274.0,SUB
2007,7200,8.0,0.0594290657439,0.345186137836,,WAT
2007,7325,176.4,0.644310665443,0.252629294852,70.0,NG
2007,7512,550.0,0.28327880885,0.453480408266,,NG
2007,7900,593.6,0.354847904756,0.430329000135,183.0,NG
2007,8063,1156.8,0.0196803296211,0.276334369649,485.0,NG
2007,10154,41.0,0.73802289926,0.769596820233,,NG
2007,10167,7.6,0.455290475323,0.652643793954,,PC
2007,10184,14.3,0.105500036296,0.161960849779,,NG
2007,10203,40.0,0.677706170704,0.735242510205,,NG
2007,10243,56.8,0.0217278294914,0.232055731411,,NG
2007,10261,25.7,0.845888366791,0.721433502616,,NG
2007,10298,300.0,0.647169242599,0.647989944053,,NG
2007,10317,3.4,0.407984259448,0.74352901339,,NG
2007,10418,55.3,0.483259081741,0.435814323225,,NG
2007,10436,214.9,0.491532066362,0.251557808136,,NG
2007,10554,689.4,0.707924806152,0.406624565438,,NG
2007,10569,1.5,0.0,,,AB
2007,10638,6.5,0.0,,,AB
2007,10670,184.0,0.617711287674,0.284904236045,,PC
2007,10692,376.9,0.752123487823,0.616185783121,,NG
2007,10741,465.2,0.133469143259,0.611143557051,,NG
2007,10790,102.4,0.566067211604,0.764211686645,,NG
2007,50026,64.7,0.481761835746,0.469953560711,,NG
2007,50043,316.4,0.659381529811,0.321531769207,,NG
2007,50054,6.9,0.519724520669,0.60695806019,,NG
2007,50101,57.7,0.929478823969,0.519098441625,,BLQ
2007,50109,250.0,0.238035986159,0.447020825959,,NG
2007,50118,136.1,0.285796385892,0.479140341064,,NG
2007,50121,76.7,0.407397477252,0.225055770214,,PC
2007,50127,80.0,0.0567675893887,0.371624425665,,NG
2007,50137,91.2,0.000603259879803,0.256626300851,,NG
2007,50150,168.0,0.438963358873,0.30987631746,,NG
2007,50153,96.0,0.223547432478,0.38587664202,,NG
2007,50229,35.0,0.84747856319,0.70242090771,,NG
2007,50241,4.2,0.00076893502499,0.1961724846,,DFO
2007,50263,6.0,0.141499038831,0.531387795104,,NG
2007,50304,257.0,0.646743729215,0.687502213956,,NG
2007,50404,38.8,0.673633217993,0.345204328729,,WH
2007,50475,41.0,0.769415931021,0.692359392196,,NG
2007,50569,6.0,0.663590926567,0.188037600419,,LFG
2007,50615,344.0,0.0746402319546,0.313551472382,,NG
2007,50815,643.6,0.538345713235,0.30352236658,,NG
2007,52065,7.5,0.806595447905,0.650695366291,,OTH
2007,52069,63.1,0.506981503518,0.734666499271,,NG
2007,52088,450.0,0.395879338716,0.540768488263,,NG
2007,52120,1378.6,0.393100678337,0.607404295545,,NG
2007,52132,191.1,0.129169640707,0.705370064189,,NG
2007,52176,230.0,0.315057614964,0.442716152486,,NG
2007,54253,55.0,0.249946524064,0.643720696549,,NG
2007,54291,24.0,0.907911231257,0.345204589292,,PUR
2007,54330,3.7,1.1259048287,3.65702054163,,NG
2007,54338,7.5,0.279894025375,0.741743572719,,AB
2007,54364,6.0,0.00280657439446,0.499644108325,,DFO
2007,54458,2.0,0.206689677047,0.267362031309,,NG
2007,54459,3.6,10.951877483,0.689381951012,,NG
2007,54520,13.5,0.328856405656,0.297910777754,,LFG
2007,54606,3.4,-0.505190311419,-0.237943955344,,NG
2007,54607,3.5,0.0,0.0,,NG
2007,54676,497.9,0.58649704306,0.354597352185,,NG
2007,54817,282.6,0.526958437511,0.439698027777,,NG
2007,54962,10.5,0.0,,,AB
2007,54966,33.6,0.120328033174,0.345203226877,,WND
2007,54979,34.3,0.277364727404,0.345204358844,,WND
2007,55015,572.0,0.65897077778,0.676075136313,,NG
2007,55025,5.6,0.534890426759,0.472038440844,,NG
2007,55047,815.0,0.509349765428,0.505024218141,,NG
2007,55052,1.6,0.769247404844,0.243040772188,,NG
2007,55053,7.6,0.598393128149,0.336280816775,,NG
2007,55062,939.7,0.567730087359,0.47481019565,,NG
2007,55086,432.0,0.751844269298,0.786176091962,,NG
2007,55091,1734.0,0.445365703103,0.455411240358,782.0,NG
2007,55097,1090.8,0.462416080132,0.434761587898,,NG
2007,55098,529.0,0.503470455234,0.461544224955,,NG
2007,55123,801.0,0.423364393125,0.465864756368,,NG
2007,55132,939.6,0.478654442269,0.462722063271,,NG
2007,55137,898.2,0.330651563283,0.449027204775,,NG
2007,55139,809.6,0.470493734927,0.434291032664,288.0,NG
2007,55144,989.0,0.430789083611,0.464579598307,,NG
2007,55153,1142.2,0.423482314326,0.448835401996,,NG
2007,55154,595.0,0.629459451601,0.472395867542,,NG
2007,55168,727.8,0.352174143181,0.44083504214,,NG
2007,55172,557.0,0.185403763364,0.454906100445,,NG
2007,55187,918.3,0.65473742979,0.67627168188,,NG
2007,55206,575.5,0.501510847094,0.369240920421,,NG
2007,55215,1135.2,0.44222268147,0.482201474518,475.0,NG
2007,55223,418.0,0.450911132818,0.467970033256,216.0,NG
2007,55226,1036.0,0.450462029009,0.459599285871,,NG
2007,55230,640.0,0.642721849769,0.474648508038,,NG
2007,55299,715.0,0.437166038345,0.581402489248,,NG
2007,55311,92.7,0.792381322095,0.668288830604,,NG
2007,55313,548.2,0.582558298165,0.403070117616,,NG
2007,55320,746.0,0.394881582975,0.448136563087,,NG
2007,55327,914.6,0.582392399751,0.412711267937,,NG
2007,55357,675.6,0.466659223157,0.453880634717,,NG
2007,55365,236.0,0.0152532598284,0.284817763846,,NG
2007,55367,75.0,0.312061514802,0.345204286707,,WND
2007,55390,10.8,0.00104659532658,0.272068826688,,DFO
2007,55399,30.0,0.226520569012,0.345204674205,,WND
2007,55464,996.0,0.681409801837,0.595070529733,,NG
2007,55470,611.0,0.614120926044,0.7115629508,,NG
2007,55480,1783.8,0.547671449815,0.454478198979,,NG
2007,55526,8.2,1.01174499958,0.300557886665,,LFG
2007,55545,551.3,0.385382061191,0.4635255406,,NG
2007,55551,5.2,0.471652870198,0.296370815738,,LFG
2007,55552,4.0,0.283650547866,0.283782836421,,LFG
2007,55554,5.2,0.748735693372,0.303854583061,,LFG
2007,55581,278.0,0.268178536755,0.345204366378,,WND
2007,55588,4.0,0.708189186851,0.272097630026,,LFG
2007,55747,82.5,0.30661493831,0.345204462428,,WND
2007,55795,78.0,0.243884009109,0.345204420676,,WND
2007,55796,82.0,0.248039215686,0.345204656695,,WND
2007,55968,150.0,0.33414071511,0.345204467146,,WND
2007,55992,160.5,0.348164437114,0.34520444077,,WND
2007,56111,160.0,0.338582756632,0.345204436732,,WND
2007,56113,8.4,0.596614736091,0.209208829247,,LFG
2007,56152,260.0,0.0,,,AB
2007,56211,37.5,0.337743944637,0.34520410226,,WND
2007,56212,91.5,0.352425611839,0.345204695995,,WND
2007,56233,153.9,0.645724054251,0.443921552686,,NG
2007,56240,120.6,0.323522717057,0.345204369048,,WND
2007,56270,114.0,0.375653088893,0.345204426387,,WND
2007,56291,735.5,0.290268371915,0.345204360058,,WND
2007,56311,135.0,0.346880259729,0.345204396851,,WND
2007,56337,241.0,0.174947235423,0.345204327515,,WND
2007,56349,448.0,0.0778054971989,0.387970345097,,NG
2007,56350,451.1,0.0764561930762,0.391820794182,201.0,NG
2007,56372,80.5,0.017869858941,0.345205065181,,WND
2007,56373,5.0,0.030403644752,0.252456586538,,NG
2007,56374,6.1,0.341520619434,0.38241875628,,NG
2007,56394,124.2,0.345342835439,0.345204472132,,WND
2007,56395,200.0,0.027461361015,0.345203866085,,WND
2007,56402,7.0,0.0604712308453,0.345197424893,,WND
2007,56457,84.0,0.395034876696,0.345204402749,,WND
2007,56479,90.0,0.177308727413,0.345204606981,,WND
2007,56484,232.5,0.143539829594,0.345204382288,,WND
2007,56506,130.5,0.20286008476,0.345204269053,,WND
2007,56524,6.4,0.13112745098,0.283803509574,,LFG
2007,56528,6.4,0.467776798587,0.322992168218,,LFG
2007,56602,63.0,0.0117885062522,0.34520478293,,WND
2007,56673,59.8,0.0260441378991,0.345203470599,,WND
2007,56881,4.8,0.0731209150327,0.31596822885,,OBL
2008,127,720.0,0.663368896578,0.322089141466,275.0,SUB
2008,298,1849.8,0.866458583072,0.330791750224,362.0,LIG
2008,791,6.0,0.254709727028,0.346254001808,,WAT
2008,794,2.8,0.290121931125,0.346253940809,,WAT
2008,3437,9.6,0.604118608228,0.346256605251,,WAT
2008,3438,188.7,0.0,,,AB
2008,3439,450.8,0.144747413032,0.298257040547,177.0,NG
2008,3441,563.5,0.0,,,AB
2008,3452,927.5,0.103783098145,0.28586077579,562.0,NG
2008,3453,958.3,0.0296569966447,0.276189844322,183.0,NG
2008,3454,708.5,0.0312507783636,0.291515138082,435.0,NG
2008,3460,2295.0,0.0923567355944,0.298377015299,809.0,NG
2008,3464,878.4,0.0165796362475,0.211695180665,242.0,NG
2008,3466,2314.5,-0.000109036282222,-inf,,AB
2008,3468,875.1,0.0256824825556,0.254805781154,289.0,NG
2008,3469,1421.5,0.0740758681656,0.355398848537,371.0,NG
2008,3470,3969.0,0.57389340631,0.330124205555,859.0,SUB
2008,3490,634.7,0.0739571447445,0.285334753912,410.0,NG
2008,3491,1433.3,0.034701539289,0.265938463791,415.0,NG
2008,3492,1363.7,0.00469776616115,0.236987467393,468.0,NG
2008,3494,1097.4,0.0327558332803,0.235517980846,527.0,NG
2008,3497,1186.8,0.818480019838,0.307721234276,482.0,LIG
2008,3502,321.6,0.0267538461097,0.260874920438,175.0,NG
2008,3504,713.4,0.13062696013,0.291961222634,363.0,NG
2008,3506,1379.7,0.0378645743074,0.275916537539,,NG
2008,3507,243.3,0.0329840889234,0.258712852016,138.0,NG
2008,3508,1175.4,0.0470512480082,0.264177054792,,NG
2008,3548,932.3,0.214797747531,0.321863067105,506.0,NG
2008,3559,181.4,0.0662087391543,0.331215411866,72.0,NG
2008,3561,138.0,0.00255670895809,0.321197353439,,NG
2008,3574,96.4,1.19647566129e-06,0.00169414101291,1.0,NG
2008,3576,427.7,0.0336609325544,0.2597175561,140.0,NG
